,Product_Name,Price,Description,Image_URL,Product_Link
10,Animal Print Ruffle Pleated Top,"69,90 EUR 49,90 EUR","  – Slightly relaxed fit
    – Lightweight fabric
    – Ruffle pleated technique
    – Sheer
    – Pleated
    – Printed
    – Visible seam stitch detail
    – 95% polyester – 5% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32731.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32732.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32733.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32734.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3273.jpg']",https://www.esthe.co.uk/product/animal-print-ruffle-pleated-top-black-animal-print/
11,Animal Print Ruffle Satin Crossbody Bag,"129,90 EUR","  – Big shoulder bag with extra lining
    – Lightweight, non-stretch fabric
    – Printed
    – Adjustable channelled gathering at strap
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-32281.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-32282.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3228.jpg']",https://www.esthe.co.uk/product/animal-print-ruffle-satin-crossbody-bag-black-animal-print/
12,Animal Print Satin Bag,"79,90 EUR","  – Small shoulder bag with extra lining
    – Lightweight, non-stretch fabric
    – Very wide adjustable strap
    – Printed
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31431.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31432.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31433.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31434.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3143.jpg']",https://www.esthe.co.uk/product/animal-print-satin-bag-brown-animal-print/
13,Animal Print Sheer Pleated Top,"69,90 EUR 49,90 EUR","  – See-through top
    – Lightweight, stretch fabric
    – Printed
    – Pleated
    – 100% polyester
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31511.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31512.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31513.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31514.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31515.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31516.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3151.jpg']",https://www.esthe.co.uk/product/animal-print-sheer-pleated-top-black-animal-print/
14,Animal Print Tank Top,"79,90 EUR","  – Lightweight, semi-stretch fabric
    – Designed for a tight fit
    – Printed
    – Adjustable channelled gathering at the side seam
    – 91% polyester – 9% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-31251.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31252.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31253.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31254.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-31255.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3125.jpg']",https://www.esthe.co.uk/product/animal-print-tank-top-brown-animal-print/
15,Asymmetric Heart Cut-Out Maxi Dress,"149,90 EUR","  – Fits true to size
    – Asymmetric neckline
    – Cut-out opening at waist
    – Unlined
    – Mid-weight stretchy rib fabric
    – Sleeve length runs longer
    – Midi length
    – 94% polyester – 6% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3162a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3162a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3162a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3162a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3162a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3162a.jpg']",https://www.esthe.co.uk/product/asymmetric-heart-cut-out-maxi-dress-black/
16,Asymmetric Layered Bodysuit,"109,90 EUR 89,90 EUR","  – Mid-weight, stretchy jersey fabric
    – Fits true to size
    – Cut for a very close fit
    – Cross body layered design
    – Sustainable/Responsible
    – 95% viscose eco vero – 5% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3070a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3070a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3070a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3070a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3070a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3070a.jpg']",https://www.esthe.co.uk/product/asymmetric-layered-bodysuit-black/
17,Cargo Maxi Skirt,"159,90 EUR","  – Mid rise
    – Belt loops
    – Functional pockets
    – Back centre split
    – Regular fit
    – Cargo style
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135b1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135b.jpg']",https://www.esthe.co.uk/product/cargo-maxi-skirt-black/
18,Cargo Maxi Skirt,"159,90 EUR","  – Mid rise
    – Belt loops
    – Functional pockets
    – Back centre split
    – Regular fit
    – Cargo style
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3135a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3135a.jpg']",https://www.esthe.co.uk/product/cargo-maxi-skirt-almond-milk/
19,Cargo Mini Skirt,"109,90 EUR","  – Waist-down dressing
    – Low rise
    – Belt loops
    – Lining shorts inside
    – Regular fit
    – Short length
    – 97% cotton – 3% elastane
    – Made In Europe","['https://41f1f3d5.flyingcdn.com/wp-content/uploads/2023/08/232-3124a1.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a2.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a3.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a4.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a5.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a6.jpg', 'https://www.esthe.co.uk/wp-content/uploads/2023/08/232-3124a.jpg']",https://www.esthe.co.uk/product/cargo-mini-skirt-black/
